menu,price,calorie,protain,shishitu,tansui,solt,calcium,vegitable,red,green,yellow
天津麻婆丼,490,1167,44.4,53.3,117.6,7.5,232.8,25,5.4,0.1,9.1
天津カレー,490,1202.1,32.6,65.3,112.6,3.7,136.6,9,3.5,0.2,11.3
麻婆丼,410,665.3,21,11.6,114.1,6,136.7,25,1.9,0.1,6.3
天津中華丼,490,1148.6,34.2,60.2,109.8,4.5,140.5,55,4.1,0.3,10
中華丼,410,615.3,11.7,12.3,112.2,3.7,62.1,105,0.5,0.5,6.7
天津カレーS,330,664.7,20.4,35.9,60.1,2,84.4,4,2.3,0.1,5.9
ライスL,144,561,9.9,0,122.1,0,0,0,0,0,7
ライスM,113,408,7.2,0,88.8,0,0,0,0,0,5.1
ライスS,92,272,4.8,0,59.2,0,0,0,0,0,3.4
ライスSS,72,170,3,0,37,0,0,0,0,0,2.1
豚汁,108,100,6,3.8,11.2,1.7,33,54,0.5,0.4,0.4
味噌汁,32,41.3,2.3,2.1,3.8,1.4,31.5,0,0.2,0,0.3
ロースカツカレー,390,866.8,20.4,30.5,123.7,3.7,45.3,1.3,1.4,0.2,9.3
カレーライス,280,560,10.9,7.2,108.9,2.4,38,14,0,0.2,6.8
ベジタリアンカレー,350,527.4,8.3,2.5,114.2,2.5,45.3,46,0,0.3,6.3
ローストンカツ丼,420,896.7,25.9,34.1,114.6,3.6,59.4,39,2.6,0.2,8.5
親子丼,370,693.1,25.2,16..1,105.4,4.1,56.3,39,2.8,0.2,5.7
玉子丼,310,593.2,18.3,10.4,100.9,3,68,39,1.8,0.2,5.5
台湾ラーメン,432,548,25.7,7.3,95.8,8.1,88,100,0.9,0.3,5.7
かき揚げうどん,259,456,8.3,9.3,84.5,4.9,31,30,0,0.2,5.6
かき揚げそば,259,425,11.6,10.1,71.9,3.8,34,30,0,0.2,5.2
うどん,172,339,7.7,1,75,4.8,21,5,0,0,4.2
そば,172,308,10.9,1.8,62.4,3.6,24,5,0,0,3.8
山菜うどん,259,357,8.9,1,78.6,6.6,33,46,0,0.1,4.4
山菜そば,259,326,12.1,1.8,66,5.4,36,46,0,0.1,4
きつねうどん,216,419,11.1,5.9,80.9,5.1,66,5,0.7,0,4.5
きつねそば,216,388,14.4,6.7,68.3,3.9,69,5,0.7,0,4.1
コーンとツナのサラダ,108,81,5.9,3.5,6.8,0.3,16,65,0.3,0.4,0.3
豚スタミナ丼,486,741,28.8,18.5,106.2,3.3,21,29,3.1,0.1,6.1
そぼろ親子丼,378,624,18.4,11,104.1,3.5,31,15,1.4,0.1,6.3
たっぷりチーズカレー,378,704,20.9,18.4,109.7,3.2,262,14,1.8,0.2,6.8
鶏ザンギ,302,369,14.4,22.4,24.4,2.8,30,40,2.1,0.1,2.4
牛野菜炒めうま塩ダレ,259,356,10.3,28.3,14.8,2.4,58,175,2.3,0.5,1.6
ローストンカツ味噌ソース,259,358,13.2,20.6,29.9,2.2,35,40,1.4,0.1,3
白身魚和風玉子あん,259,416.2,15.1,26.3,26.8,2.4,39.7,17,0.8,0.1,4.3
蒸し鶏ラタトゥイユ,345,478,31.2,32.3,10.2,1.9,61,11.7,4.6,0.4,1
あさりと豆腐のうま煮,172,144,18.9,5,5.8,1.5,155,2,1.7,0,0.1
カジキメンチカツ,172,419,8.9,31.1,24.5,0.9,29,36,0.4,0.1,4.7
海老クリームコロッケ,108,243,4.4,18,15.1,0.5,34,2,0.2,0,2.8
冷奴,43,58,4.8,2.9,2.2,0,59,1,0.7,0,0
フルーツヨーグルト,108,100,2.9,1.8,18.6,0,78,0,0.5,0,0.8
ほうれん草胡麻和え,64,37,2.3,1.6,4.3,0.5,64,56,0,0.2,0.3
大学芋,64,162,0.6,8.4,22.2,0,18,0,0,0.7,1.4
鶏きも煮,86,67,8.9,1.7,4.4,0.9,0.6,0,0.6,0,0.2
ベルギーチョコケーキ,216,226,4,14.2,21,0.1,35,0,0,0,2.8
ニューヨークチーズケーキ,216,241,3.9,18.1,15,0.3,31,0,0,0,3
ショコラ,108,106,1.8,5.3,13.3,0.1,12,0,0,0,1.3
焼きプリンタルト,64,119,2,6.6,12.4,0.1,28,0,0,0,1.5
エクレア,64,63,0.9,4.8,4.1,0.1,18,0,0,0,0.8
クリームコンフェ,64,61,1.9,2.5,12.4,0.1,19,0,0,0,1
プチ今川焼き,64,102,1.6,4.4,13.9,0.2,9,0,0,0,1.3
ヨーグルト風グレープ,86,98,1.2,6,11.1,0,4,0,0,0,1.2
みかんクレープ,86,94,1.2,5,10.9,0,4,0,0,0,1.2
ショコラモンブラン,216,303,3.3,17.1,33.9,0.2,20,0,0,0,3.8
白桃のタルト,216,224,2.3,10,31.2,0.2,21,0,0,0,2.8
紅茶のシフォン,216,198,3.1,13.8,14.5,0.1,21,0,0,0,2.5
牛乳,67,138,6.8,7.8,10,0.2,228,0,1.7,0,0
